PK,NOMBRE,sameAs,direccion,DISTRITO,distriurl,LATITUD,LONGITUD,TELEFONO,CONTENT-URL
6893633,Biblioteca Publica Municipal Eugenio Trias. Casa de Fieras de El Retiro,,paseo fernan nunez 24,Retiro (Madrid),http://dbpedia.org/resource/Retiro_(Madrid),40.4166091081099,-3.6795930368034804,91 480 48 38,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD
167128,Biblioteca Publica Municipal Francisco Ayala (Vicalvaro),,bulevar indalecio prieto 21,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,40.39982891410407,-3.621281890570377,91 301 64 66,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f05279262ef5d010VgnVCM1000000b205a0aRCRD
1760,Biblioteca Publica Municipal Francisco Ibanez (Chamartin),,calle mantuano 51,Chamartín (Madrid),http://dbpedia.org/resource/Chamartín_(Madrid),40.44810636195716,-3.6762309620097398,91 510 37 56,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0fce3d0b5e71c010VgnVCM1000000b205a0aRCRD
1754,Biblioteca Publica Municipal Gabriel Garcia Marquez (Usera),,plaza pueblo 2,Usera,http://dbpedia.org/resource/Usera,40.366768324753416,-3.701141063083806,"91 318 86 91                                                  
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e4bf3d0b5e71c010VgnVCM1000000b205a0aRCRD
1748,Biblioteca Publica Municipal Gerardo Diego (Villa de Vallecas),,calle monte aya 12,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,40.37790196240434,-3.6227296605039516,91 380 66 33,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca903d0b5e71c010VgnVCM1000000b205a0aRCRD
79941,Biblioteca Publica Municipal Gloria Fuertes (Barajas),,avenida logrono 179,Barajas (Madrid),http://dbpedia.org/resource/Barajas_(Madrid),40.46055947228695,-3.5937461811785347,91 312 02 58,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD
1750,Biblioteca Publica Municipal Huerta de la Salud (Hortaleza),,calle mar de las antillas 10,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.47571688103069,-3.64667257750353,91 764 52 43,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c5879262ef5d010VgnVCM1000000b205a0aRCRD
5975465,Biblioteca Publica Municipal Ivan de Vargas (Centro),,calle san justo 5,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.41410290844665,-3.7098591212735883,917 586 211,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD
115056,Biblioteca Publica Municipal Jose Hierro (San Blas-Canillejas),,calle maria sevilla diago 15,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.433291625973624,-3.6105662311927453,91 313 55 28,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD
1790,Biblioteca Publica Municipal Jose Saramago (Fuencarral-El Pardo),,avenida monforte de lemos 38,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,40.47860087334554,-3.7094408342979954,91 588 68 91,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD
1756,Biblioteca Publica Municipal La Chata (Carabanchel),,calle general ricardos 252,Carabanchel,http://dbpedia.org/resource/Carabanchel,40.38330593504341,-3.7420633861175796,91 422 05 33,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d9a879262ef5d010VgnVCM1000000b205a0aRCRD
51849,Biblioteca Publica Municipal La Elipa (Ciudad Lineal),,calle nuestra senora del villar 6,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.42342659084215,-3.651841641389484,91 403 63 22,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=697c598d1351c010VgnVCM1000000b205a0aRCRD
185595,Biblioteca Publica Municipal Manuel Vazquez Montalban (Tetuan),,calle francos rodriguez 67,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),40.45749513485957,-3.710539712535917,"91 398 07 23                                                                                                                                     
91 398 07 26",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b5ca89e2c9e5d010VgnVCM1000000b205a0aRCRD
7697128,Biblioteca Publica Municipal Mario Vargas Llosa (Centro),,calle barcelo 2,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.426642215368176,-3.699722994908341,"914 802 433                                                                                                                                                   
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD
10395362,Biblioteca Publica Municipal Maria Lejarraga (Hortaleza),,calle princesa de eboli 29,Hortaleza,http://dbpedia.org/resource/Hortaleza,40.49041562546542,-3.655356751728003,91 513 33 83,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d862492de8c8c510VgnVCM2000001f4a900aRCRD
1759,Biblioteca Publica Municipal Maria Zambrano (Tetuan),,plaza donoso 5,Tetuán (Madrid),http://dbpedia.org/resource/Tetuán_(Madrid),40.46903299144094,-3.6976620067964996,91 733 90 43,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=74703d0b5e71c010VgnVCM1000000b205a0aRCRD
1752,Biblioteca Publica Municipal Miguel Delibes (Moratalaz),,calle arroyo belincoso 11,Moratalaz,http://dbpedia.org/resource/Moratalaz,40.40971737692924,-3.6529822109115133,91 328 73 00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9e8f3d0b5e71c010VgnVCM1000000b205a0aRCRD
186714,Biblioteca Publica Municipal Pablo Neruda (Ciudad Lineal),,calle ascao 4,Ciudad Lineal,http://dbpedia.org/resource/Ciudad_Lineal,40.42941133441142,-3.6416899839787695,91 406 14 72,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d5c548d20675e010VgnVCM1000000b205a0aRCRD
1753,Biblioteca Publica Municipal Portazgo (Puente de Vallecas),,calle cantalapiedra 11,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.393189968014696,-3.6554147649183943,91 757 03 23,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=89a40a47f441f010VgnVCM2000000c205a0aRCRD
1792,Biblioteca Publica Municipal Pozo del Tio Raimundo (Puente de Vallecas),,avenida glorietas 19,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.3735856436473,-3.6602546064905397,91 507 07 34,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d7203d0b5e71c010VgnVCM1000000b205a0aRCRD
1763,Biblioteca Publica Municipal Pio Baroja (Arganzuela),,calle arganda 12,Arganzuela,http://dbpedia.org/resource/Arganzuela,40.40003652682007,-3.7074488154950584,91 474 16 03,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=17f879262ef5d010VgnVCM1000000b205a0aRCRD
1746,Biblioteca Publica Municipal San Blas (San Blas-Canillejas),,calle san roman del valle 8,San Blas-Canillejas,http://dbpedia.org/resource/San_Blas-Canillejas,40.420231627534996,-3.6218113860909074,91 313 52 97,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2e403d0b5e71c010VgnVCM1000000b205a0aRCRD
1761,Biblioteca Publica Municipal Vallecas (Puente de Vallecas),,calle puerto del monasterio 1,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.395023959810636,-3.665554302127492,91 588 60 51,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=11c03d0b5e71c010VgnVCM1000000b205a0aRCRD
1747,Biblioteca Publica Municipal Vicalvaro,,calle villardondiego 36,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,40.405283650744316,-3.6086278232922804,91 775 31 43,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=67e03d0b5e71c010VgnVCM1000000b205a0aRCRD
5768564,Biblioteca Publica Municipal angel Gonzalez (Latina),,calle granja de torrehermosa 1,Latina (Madrid),http://dbpedia.org/resource/Latina_(Madrid),40.397074625115906,-3.7664885474841556,91 512 35 42,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD
1800,Biblioteca Publica Puente de Vallecas 'Miguel Hernandez',,avenida rafael alberti 36,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,40.38449423079662,-3.6429247082087737,913 033 195,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=535979262ef5d010VgnVCM1000000b205a0aRCRD
1777,Biblioteca Publica Ruiz Egea,,calle raimundo fernandez villaverde 6,Chamberí,http://dbpedia.org/resource/Chamberí,40.446595985821794,-3.7028897237155656,915 349 029,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b2413d0b5e71c010VgnVCM1000000b205a0aRCRD
1765,Biblioteca Publica Salamanca - Manuel Alvar,,calle azcona 42,Salamanca (Madrid),http://dbpedia.org/resource/Salamanca_(Madrid),40.43440083847048,-3.66897244650415,917 263 701 ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d51979262ef5d010VgnVCM1000000b205a0aRCRD
123303,Biblioteca Publica Usera - Jose Hierro,,avenida rafaela ybarra 43,Usera,http://dbpedia.org/resource/Usera,40.38188182427109,-3.7106164073640233,914 229 501,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=943979262ef5d010VgnVCM1000000b205a0aRCRD
181101,Biblioteca Publica Villa de Vallecas - Luis Martin Santos,,plaza antonio maria segovia 2,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,40.38091437280583,-3.613674447421734,912 760 231,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=09ac38d60b41c010VgnVCM2000000c205a0aRCRD
86719,Biblioteca Publica Villaverde - Maria Moliner,,calle villalonso 16,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.34952409541233,-3.710123586489839,917 230 194  ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=127979262ef5d010VgnVCM1000000b205a0aRCRD
10318420,Biblioteca Regional Joaquin Leguina,http://es.dbpedia.org/page/Biblioteca_Regional_Joaquin_Leguina,calle ramirez de prado 3,Arganzuela,http://dbpedia.org/resource/Arganzuela,40.39990747999322,-3.690042467266191,917 208 850 / 917 208 860,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=71c2f95a5875b510VgnVCM2000001f4a900aRCRD
10367361,Biblioteca del Defensor del Pueblo,,calle fortuny 22,Chamberí,http://dbpedia.org/resource/Chamberí,40.433268128292234,-3.690017893133342,"914327900                                                                                                                                          
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=139ac21d2343c510VgnVCM1000001d4a900aRCRD
1788,Casa San Cristobal,,calle rocafort 101,Villaverde (Madrid),http://dbpedia.org/resource/Villaverde_(Madrid),40.34244856729781,-3.686807481597248,917 966 048,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=dcdb3d0b5e71c010VgnVCM1000000b205a0aRCRD
103331,Centro Social y Cultural La Casa Encendida,,ronda valencia 2,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.40595710517701,-3.699779793558763,"902 430 322                                                                 
",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c27f8899fc81c010VgnVCM1000000b205a0aRCRD
2047,Hemeroteca Municipal de Madrid,http://es.dbpedia.org/resource/Hemeroteca_Municipal_de_Madrid,calle conde duque 11,Centro (Madrid),http://dbpedia.org/resource/Centro_(Madrid),40.42802889001877,-3.710182353581842,91 588 57 71 (Informacion general); 91 513 31 64 y 91 588 57 72 (Informacion especializada: infohemeroteca@madrid.es); 91 588 57 73 (Servicio reprografia: nmicrofilm@madrid.es)                                                            ,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=11951e79ee71c010VgnVCM1000000b205a0aRCRD
